"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"249",2020-01-15,41,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"250",2020-01-16,57,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"251",2020-01-17,28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"252",2020-01-18,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"253",2020-01-19,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"254",2020-01-20,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"255",2020-01-21,50,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"256",2020-01-22,42,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"257",2020-01-23,12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"258",2020-01-24,14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"259",2020-01-25,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"260",2020-01-26,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"261",2020-01-27,28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"262",2020-01-28,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"263",2020-01-29,12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"264",2020-01-30,12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"265",2020-01-31,35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"266",2020-02-01,47,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"267",2020-02-02,9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"268",2020-02-03,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"269",2020-02-04,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"270",2020-02-05,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"271",2020-02-06,28,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"272",2020-02-07,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"273",2020-02-08,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"274",2020-02-09,26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"275",2020-02-10,12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"276",2020-02-11,10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"277",2020-02-12,12,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"278",2020-02-13,20,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"279",2020-02-14,30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"280",2020-02-15,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"281",2020-02-16,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"282",2020-02-17,5,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"283",2020-02-18,3,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"284",2020-02-19,15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
